story	Story(name=speedometer_2.1)
Angular2-TypeScript-TodoMVC
Adding100Items
Async	34.36836400269949
Sync	53.82406205100063
total	88.23446666068565
CompletingAllItems
Async	14.188990813612376
Sync	9.724139998084636
total	23.915818076852297
DeletingItems
Async	2.7281468392674726
Sync	17.728205326371697
total	20.46295963769597
total	132.62685302231097
AngularJS-TodoMVC
Adding100Items
Async	51.517604869215376
Sync	232.34538529357064
total	284.85519368780234
CompletingAllItems
Async	29.285468020051574
Sync	68.259612580089
total	97.60045536040728
DeletingAllItems
Async	14.169759887205503
Sync	261.5806204860101
total	275.91029220446586
total	666.7863155719284
BackboneJS-TodoMVC
Adding100Items
Async	40.388951148453486
Sync	69.52662321159333
total	109.92860200370998
CompletingAllItems
Async	31.4866998475314
Sync	45.592399090884044
total	77.08126266657247
DeletingAllItems
Async	3.7038194572845895
Sync	28.931459473173508
total	32.660630052507074
total	219.69500360187845
Elm-TodoMVC
Adding100Items
Async	49.47056103382479
Sync	159.6735693245602
total	211.58453708310893
CompletingAllItems
Async	35.569112223066945
Sync	133.10645794332854
total	169.53073111501004
DeletingItems
Async	9.99347327478979
Sync	138.28743258429884
total	148.7860006484966
total	545.6971624166449
EmberJS-Debug-TodoMVC
Adding100Items
Async	44.84921384290636
Sync	659.6101168016943
total	704.7944803100419
CompletingAllItems
Async	32.25864440044518
Sync	347.9636472339802
total	380.41251272263656
DeletingItems
Async	6.259520940571274
Sync	368.99078309741327
total	377.0224669364151
total	1468.7540578253593
EmberJS-TodoMVC
Adding100Items
Async	39.16177537709835
Sync	239.08315774512562
total	279.06234315782103
CompletingAllItems
Async	32.89340473632949
Sync	117.4424901329391
total	150.52408773058838
DeletingItems
Async	3.9268866267739106
Sync	94.00791444202154
total	98.89634799951811
total	540.136633194414
Flight-TodoMVC
Adding100Items
Async	35.788085001768096
Sync	96.25362604708548
total	132.04844273570882
CompletingAllItems
Async	27.718072543194175
Sync	104.59061708724762
total	132.31116126545984
DeletingItems
Async	2.8888103131237393
Sync	88.59812496826635
total	91.48830940092871
total	355.8651557056882
Inferno-TodoMVC
Adding100Items
Async	41.387920634010655
Sync	49.09320700269211
total	90.72505901509469
CompletingAllItems
Async	8.873928441879915
Sync	153.01402050785634
total	162.5294219938386
DeletingItems
Async	3.8482146522252667
Sync	244.08390950510062
total	248.61531117993425
total	514.8162204052481
Preact-TodoMVC
Adding100Items
Async	43.91067923447136
Sync	6.080956965069084
total	50.006285986966276
CompletingAllItems
Async	28.282265104504905
Sync	3.7851178069801876
total	32.12630384544491
DeletingItems
Async	5.69740265757858
Sync	2.0150015430284203
total	7.7218835723321835
total	90.27643120116379
React-Redux-TodoMVC
Adding100Items
Async	40.731399727231775
Sync	186.7925447574956
total	228.12827298706512
CompletingAllItems
Async	28.38887029406344
Sync	177.98704162962875
total	206.7243071318532
DeletingItems
Async	3.742301098553131
Sync	110.01982407658902
total	114.37997748963355
total	552.3653062166694
React-TodoMVC
Adding100Items
Async	39.6864841806793
Sync	137.27320875091908
total	177.1284994840338
CompletingAllItems
Async	31.61486574200691
Sync	97.6393948908336
total	130.25365423938314
DeletingAllItems
Async	3.2818232931726476
Sync	56.37180779391073
total	60.01120463892467
total	370.4894368803473
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	34.15226729166661
Sync	325.34321193322177
total	359.517918207676
CompletingAllItems
Async	28.184849348726356
Sync	72.66546805053514
total	100.87158762485653
DeletingItems
Async	2.978046575945065
Sync	45.82589257064627
total	48.807254117849844
total	509.2339864543174
Vanilla-ES2015-TodoMVC
Adding100Items
Async	34.3376285386603
Sync	331.5236358422361
total	365.9112117289964
CompletingAllItems
Async	28.91184528703478
Sync	71.87503290601062
total	100.79386796091272
DeletingItems
Async	2.8094839782763437
Sync	44.81566091419663
total	47.62580204567788
total	514.3362585260271
VanillaJS-TodoMVC
Adding100Items
Async	32.93249981930237
Sync	229.13547062236154
total	262.07056072497323
CompletingAllItems
Async	28.12147005506333
Sync	62.78721558929767
total	90.92207999015531
DeletingAllItems
Async	3.296623021403114
Sync	40.116102699094476
total	43.417096948630125
total	396.4430231432459
VueJS-TodoMVC
Adding100Items
Async	60.39174578451634
Sync	8.815396656550485
total	69.20815690196017
CompletingAllItems
Async	32.44050840902394
Sync	3.8278834632301115
total	36.31087847732894
DeletingAllItems
Async	8.43328579337445
Sync	4.895361935640072
total	13.355981546270415
total	119.1903473580242
jQuery-TodoMVC
Adding100Items
Async	42.21262521271229
Sync	511.94326995302293
total	554.2018687007409
CompletingAllItems
Async	38.201089638502005
Sync	972.4302459345877
total	1010.6708371995531
DeletingAllItems
Async	3.772606857644911
Sync	529.9338710199246
total	534.3072314975116
total	2103.1618639892877
geomean	413.8695805354003
mean	572.5728786837261
score	48.324402035363676
total	9161.16605893962
