label	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome
version	112.0.5572.0
binary	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC
Adding100Items
Async	33.74871825490046
Sync	49.52272421015089
total	83.30327775909177
CompletingAllItems
Async	16.136570406467648
Sync	9.644339044727879
total	25.950863251182046
DeletingItems
Async	3.014905062253767
Sync	17.44160146903302
total	20.670838941924075
total	130.26042511790445
AngularJS-TodoMVC
Adding100Items
Async	43.766349939868924
Sync	214.65107998363288
total	258.7485705118039
CompletingAllItems
Async	29.091544190036423
Sync	66.28868078800616
total	95.41559832335301
DeletingAllItems
Async	13.345405303551898
Sync	220.11413879267096
total	233.46843696820028
total	589.514569305926
BackboneJS-TodoMVC
Adding100Items
Async	40.05787555065085
Sync	69.22345658775265
total	109.29279023093676
CompletingAllItems
Async	31.22854640478006
Sync	45.43244212574227
total	76.66241450377953
DeletingAllItems
Async	3.449457389036735
Sync	28.81115949070952
total	32.2731386537804
total	218.24915685211425
Elm-TodoMVC
Adding100Items
Async	47.47621157326939
Sync	131.6330643881676
total	180.73191129334137
CompletingAllItems
Async	34.22059940408607
Sync	126.8127020550632
total	161.87702326348398
DeletingItems
Async	9.80866118668724
Sync	132.71178188344336
total	142.90260760194963
total	495.9726298103802
EmberJS-Debug-TodoMVC
Adding100Items
Async	44.65055614136621
Sync	554.2054545647566
total	598.8885832362953
CompletingAllItems
Async	29.369561274710424
Sync	347.50933163563764
total	376.94351104082074
DeletingItems
Async	5.056523244807153
Sync	375.66102156848933
total	381.482087938144
total	1362.0922631800804
EmberJS-TodoMVC
Adding100Items
Async	36.687309453077035
Sync	191.16441649908612
total	227.9060257039738
CompletingAllItems
Async	29.00130342894309
Sync	124.34394133816309
total	153.65085820178186
DeletingItems
Async	3.294810513299073
Sync	80.17998027642068
total	83.84138674488001
total	467.69421921839415
Flight-TodoMVC
Adding100Items
Async	35.62868247370595
Sync	95.02338639689496
total	130.65673839653857
CompletingAllItems
Async	27.667733107173785
Sync	103.4866305635702
total	131.15674760083033
DeletingItems
Async	2.835328357365224
Sync	85.76340983305646
total	88.60198047259007
total	350.42666653656903
Inferno-TodoMVC
Adding100Items
Async	37.01577948517664
Sync	48.34728995330911
total	85.42829085153421
CompletingAllItems
Async	6.732431763217565
Sync	101.12887886916471
total	108.0996241774357
DeletingItems
Async	2.609058560824053
Sync	237.35457765571988
total	239.96590262620174
total	433.53209922938385
Preact-TodoMVC
Adding100Items
Async	42.545696617684
Sync	6.201708199329141
total	48.75119126742817
CompletingAllItems
Async	29.65687383663642
Sync	3.824070631321243
total	33.48513991979307
DeletingItems
Async	5.615454476108686
Sync	2.0452717372719516
total	7.676174070604338
total	89.95528790207858
React-Redux-TodoMVC
Adding100Items
Async	37.34460385168694
Sync	166.9986167552717
total	204.3714591487302
CompletingAllItems
Async	28.360906386192305
Sync	170.68472496313956
total	199.30511670294206
DeletingItems
Async	4.138856081188925
Sync	116.09388728548251
total	120.55031885243469
total	530.2916439866558
React-TodoMVC
Adding100Items
Async	38.677175273361506
Sync	146.35605243667445
total	185.93984366735512
CompletingAllItems
Async	29.365677926647145
Sync	90.38974083740895
total	120.40198227738541
DeletingAllItems
Async	3.576582228059422
Sync	55.52296368630484
total	59.54624589599603
total	371.7760810917989
Vanilla-ES2015-Babel-Webpack-TodoMVC
Adding100Items
Async	34.111904098636714
Sync	324.90178776077977
total	359.03586336292597
CompletingAllItems
Async	26.995515843733475
Sync	71.23298429125589
total	98.2356947856512
DeletingItems
Async	2.968983192863697
Sync	45.27760833992817
total	48.24824270192227
total	505.526794354736
Vanilla-ES2015-TodoMVC
Adding100Items
Async	33.95866403391039
Sync	333.1499093459122
total	367.17686088260825
CompletingAllItems
Async	29.04843250255969
Sync	71.32929877595177
total	100.41163259829709
DeletingItems
Async	2.8262560035250264
Sync	44.75021913385018
total	47.58060281118028
total	515.1830980351502
VanillaJS-TodoMVC
Adding100Items
Async	33.69158830813629
Sync	240.87886375211644
total	274.66860384864685
CompletingAllItems
Async	27.734952550711558
Sync	62.73775230927328
total	90.49078094422177
DeletingAllItems
Async	3.4723442526468498
Sync	40.34208734188925
total	43.95517724244043
total	409.5251514844257
VueJS-TodoMVC
Adding100Items
Async	60.50355071453259
Sync	8.78013807240407
total	69.289977656948
CompletingAllItems
Async	30.955121881046498
Sync	3.818496542401825
total	34.801698520040475
DeletingAllItems
Async	8.838728052014277
Sync	4.856574545932932
total	13.708554798542753
total	118.01246531778389
jQuery-TodoMVC
Adding100Items
Async	41.46915351794552
Sync	499.4935599207256
total	540.9703316051094
CompletingAllItems
Async	39.78596531852678
Sync	992.7631399105412
total	1032.6651606072949
DeletingAllItems
Async	4.105919679571455
Sync	523.0016220131192
total	528.049661758722
total	2103.3660290679422
geomean	396.80055210680456
mean	545.0592642079339
score	50.40315567559171
total	8720.948227326944
